	E. coli Homolog Accession	E. coli Homolog Gene Name	E-Value
Q72J67	P0AE52	BCP	2.5e-06
Q72GE0	P77416	HYFD	6.4e-11
Q72JV7	P77416	HYFD	6.4e-11
Q72KC0	P32057	WCAI	0.014
Q72G89	P32057	WCAI	0.014
Q72JD5	P67127	YGDQ	0.21
Q72HY6	P67127	YGDQ	0.21
Q72KJ0	P23857	PSPE	2.4e-05
Q72JA4	P0DP70	PHNE2	1.8e-05
Q72GC4	P0DP70	PHNE2	1.8e-05
Q72LD0	P52073	GLCE	3.8e-16
Q72LK6	P75946	YCFL	1.4e-06
Q72H46	P07026	SDIA	5.2e-06
Q72KS3	P33359	YEHW	3.9e-06
Q72H04	P0AGJ5	YFIF	4.1e-14
Q72HG0	P0AGD7	SRP54	0.00032
Q72L61	P75804	YLII	8.1e-48
Q72HD6	P75804	YLII	8.1e-48
Q72LF5	P75804	YLII	8.1e-48
Q72IX5	P26365	AMIB	3.0
Q72KF3	P76085	PAAK	1.2e-05
Q72H60	P76085	PAAK	1.2e-05
Q72L43	P37772	YJFF	0.0024
Q746L4	P76042	YCJN	2e-08
Q72GJ5	P77551	RZPR	6.9e-06
Q72K09	P17446	BETI	1.5e-05
Q72HL1	P0DP70	PHNE2	2.1e-05
Q72HM2	P77277	EUTJ	2.8e-05
Q72IG9	P0A9S3	GATD	9e-08
Q72J65	P31825	TRMN6	3.2e-06
Q72I46	P0AFK6	POTC	1.2e-05
Q72HE5	P0AFK6	POTC	1.2e-05
Q72GP1	P0AFK6	POTC	1.2e-05
Q72H21	P0AFS5	TQSA	5.7e-06
Q72JD2	P0AFS5	TQSA	5.7e-06
Q72LK8	P0AFS5	TQSA	5.7e-06
Q72KP9	P76084	PAAI	8.7e-08
Q72JG3	P68187	MALK	2.9e-06
Q72JG2	P75728	UBIF	2.9e-05
Q72KN7	P37028	BTUF	1.1e-13
Q72H51	P37028	BTUF	1.1e-13
Q72J78	P05458	PTRA	9.8e-07
Q72HI9	P05458	PTRA	9.8e-07
Q72KH1	P77716	YCJP	1.8e-05
Q72LC4	P76085	PAAK	9.5e-31
Q72IN8	P76085	PAAK	9.5e-31
Q72H66	P10905	UGPA	0.018
Q72JY0	P15038	HELD	6.8e-05
Q72LP5	P15038	HELD	6.8e-05
Q746G7	P15038	HELD	6.8e-05
Q746P4	P15038	HELD	6.8e-05
Q72K65	P0AGL5	RATA	2e-06
Q745T3	P0AGL5	RATA	2e-06
Q72KJ5	P0AFR4	YCIO	2.7e-15
Q72KF1	P0AFR4	YCIO	2.7e-15
Q72GT5	P25397	TEHB	2.4e-05
Q72IL0	P25397	TEHB	2.4e-05
Q746B5	P25397	TEHB	2.4e-05
Q72KF6	P75792	SUPH	0.033
Q72KF2	P0A6R0	FABH	5.6e-13
Q745Y9	P0A6R0	FABH	5.6e-13
Q72HG4	P0A6H5	HSLU	1.5e-05
Q72GR1	P0A6H5	HSLU	1.5e-05
Q72GP5	P0AC28	5FCL	1.6e-09
Q72GA8	P0AEP9	GLCD	1.2e-07
Q72HQ0	P0A738	MOAC	1e-48
Q72GZ8	P21177	FADB	2.3e-25
Q72H52	P21177	FADB	2.3e-25
Q745T0	P21177	FADB	2.3e-25
Q72IT4	P21177	FADB	2.3e-25
Q72LB4	P21177	FADB	2.3e-25
Q72JN3	P21177	FADB	2.3e-25
Q72I41	P29131	FTSN	1.8e-05
Q745V4	P29131	FTSN	1.8e-05
Q746K5	P09147	GALE	4e-06
Q72IR6	P09147	GALE	4e-06
Q72HS6	P09147	GALE	4e-06
Q72GA1	P30748	MOAD	3.8e-15
Q72IL4	P0A998	FTNA	2e-07
Q72KF5	P37757	YDDE	1.2e-36
Q72HT2	P0AFD6	NUOI	0.0017
Q72JE0	P0AFD6	NUOI	0.0017
Q72LA7	P78067	YNJE	0.0037
Q72L63	P78067	YNJE	0.0037
Q72K21	P04816	LIVK	1.3e-14
Q72JE2	P04816	LIVK	1.3e-14
Q72HP2	P77788	NUDG	7.9e-06
Q72KL9	P37614	YHHL	1e-06
Q72KR7	P37614	YHHL	1e-06
Q72J98	P37614	YHHL	1e-06
Q72G92	P0A7A2	GPMB	7.1e-07
Q72H44	P0A7A2	GPMB	7.1e-07
Q72I91	P56262	DLHH	8.2e-05
Q72GF6	P17802	MUTY	1.7e-16
Q72K95	P77712	FADM	3.3e-11
Q72JH4	P77712	FADM	3.3e-11
Q72G62	P21418	YDFC	2.6e-06
Q745V7	P21418	YDFC	2.6e-06
Q72J53	P0A828	SMG	9.6e-06
Q745Z2	P0A828	SMG	9.6e-06
Q72GL0	P76027	OPPD	6.5e-05
Q745Y8	P76027	OPPD	6.5e-05
Q72H38	P64612	ZAPE	2.4e-09
Q72LD3	P64612	ZAPE	2.4e-09
Q745X6	P37028	BTUF	1.1e-18
Q745Z1	P13445	RPOS	3.9e-06
Q72HK0	P0A698	UVRA	0.016
Q72JR4	P0ADC3	LOLC	0.96
Q72L81	P0ADC3	LOLC	0.96
Q72KH3	P0ADC3	LOLC	0.96
Q746D2	P0ADC3	LOLC	0.96
Q72L93	P0A9M5	XGPT	4.9e-14
Q72GT8	P0A9M5	XGPT	4.9e-14
Q72GK8	Q46801	XDHC	1.2e-05
Q72HY7	P37669	WECH	5.7e-08
Q72IL3	P37669	WECH	5.7e-08
Q72KP0	P0ABU7	EXBB	0.38
Q72I90	P0AFP6	GCH1L	3.4e-43
Q72IS0	P08394	RECB	6.1e-05
Q72KU8	P08394	RECB	6.1e-05
Q746F7	P25522	MNME	0.18
Q745Y3	P75908	DGCT	3.2e-05
Q72K75	P0AEF4	DPIA	3.1e-06
Q72K64	P77510	DPIB	7e-06
Q746A0	P42596	RLMG	6.2e-06
Q746I2	P42596	RLMG	6.2e-06
Q72GB7	P45771	YRDD	2e-32
Q72HF3	P35340	AHPF	3.6e-08
Q72IQ7	P33941	YOJI	0.031
Q72GP6	P0ABD8	BCCP	0.012
Q72LK1	P0ABD8	BCCP	0.012
Q72KW6	P0A9F1	MNTR	1.8e-18
Q72KY4	P0A9F1	MNTR	1.8e-18
Q72L07	P0A9F1	MNTR	1.8e-18
Q72H99	P0A9F1	MNTR	1.8e-18
Q72LD1	P77748	YDIJ	3.8e-07
Q72JN4	P77748	YDIJ	3.8e-07
Q746D7	P77748	YDIJ	3.8e-07
Q72GM5	P45759	GSPE	2.5e-05
Q72JK9	P56262	DLHH	4.3e-06
Q72GL6	P56262	DLHH	4.3e-06
Q72KN4	P38054	CUSA	6.7e-35
Q72HJ8	P77522	SUFB	0.00046
Q72K44	P77522	SUFB	0.00046
Q72JH3	P77522	SUFB	0.00046
Q72KP5	P0AA76	DGOT	0.0011
Q72HV6	P75736	YBFF	0.00025
Q72JM9	P75736	YBFF	0.00025
Q72GF1	P75736	YBFF	0.00025
Q72GR5	P75810	YBJJ	0.00043
Q72IC0	P00370	DHE4	3.9e-40
Q72J48	P07395	SYFB	1.9e-05
Q72IB9	P0A9Q7	ADHE	1.3e-08
Q72H92	P0A9Q7	ADHE	1.3e-08
Q72IL2	P0C054	IBPA	1.6e-07
Q746N9	P0C054	IBPA	1.6e-07
Q745Y0	P37028	BTUF	1.8e-08
Q745V5	P37028	BTUF	1.8e-08
Q72L54	P37028	BTUF	1.8e-08
Q72JT6	P0ABN1	KDGL	1.5e-22
Q746H8	P45761	GSPJ	4.1e-05
Q72JM0	P16432	HYCF	0.089
Q72JY4	P0A9Q7	ADHE	8e-08
Q72IJ1	P0A9Q7	ADHE	8e-08
Q72L55	P0A9Q7	ADHE	8e-08
Q72HD3	P65643	EUTT	0.016
Q72KL4	P65643	EUTT	0.016
Q72G91	P76407	YEGS	1.8e-19
Q72IH8	P32662	GPH	4e-07
Q72LA4	P77561	YDEP	3.5e-09
Q72KT8	P77561	YDEP	3.5e-09
Q72G69	P0AE48	YTFP	1.3e-14
Q72KR4	P0AE48	YTFP	1.3e-14
Q72LC6	P23908	ARGE	3.3e-08
Q72GQ6	P37674	YIAM	6.7e-10
Q72L67	P32716	MDTN	2.1e-05
Q72LN7	P0AAL6	YDHY	1.6
Q72IL1	P0AAL6	YDHY	1.6
Q72HB0	P0ABU5	ELBB	0.00014
Q72JG0	P27434	RODZ	6.2e-09
Q72HJ3	P0A8Z3	YBGC	2.3e-07
Q72G90	P0CF93	INSL3	2.1
Q746G8	P0CF93	INSL3	2.1
Q72KY9	P27127	RFAB	4.9e-09
Q72K08	P76168	INTQ	0.0007
Q72GD4	P32176	FDOG	5.7e-06
Q72IP5	P0A8N7	EPMA	1.8e-08
Q72JA1	P0A734	MINE	7e-10
Q72KB5	P0A734	MINE	7e-10
Q72GI0	P0A734	MINE	7e-10
Q72LM2	P0A734	MINE	7e-10
Q72J27	P0A734	MINE	7e-10
Q72KX5	P0A734	MINE	7e-10
Q72GH0	P0A734	MINE	7e-10
Q72JL5	P0A734	MINE	7e-10
Q72K53	P46889	FTSK	1.0
Q72I40	P46889	FTSK	1.0
Q72I60	P63020	NFUA	4.7e-09
Q72LC7	P37683	YIAV	1.1e-06
Q72HZ3	P30143	YAAJ	3.2e-54
Q72HX5	P0AAP3	FRMR	1.3e-07
Q72LB6	P32138	SQASE	3.8e-05
Q746M8	P76641	GUAD	0.024
Q72IQ1	P21437	GLPX2	4.8e-81
Q72KJ2	P21437	GLPX2	4.8e-81
Q746F3	P21437	GLPX2	4.8e-81
Q72H27	P21437	GLPX2	4.8e-81
Q72J40	P21437	GLPX2	4.8e-81
Q72JV4	P21437	GLPX2	4.8e-81
Q72HK8	P21437	GLPX2	4.8e-81
Q72GE1	P16429	HYCC	2.7e-07
Q746J9	P37760	RMLD	0.93
Q72II9	P37760	RMLD	0.93
Q72K81	P37760	RMLD	0.93
Q72I93	P37760	RMLD	0.93
Q72IG0	P76251	DMLA	9.8e-49
Q745W7	P76251	DMLA	9.8e-49
Q72GP2	P10443	DPO3A	9e-51
Q72HQ6	P10443	DPO3A	9e-51
Q72KT4	P0AFK0	PMBA	8.3e-20
Q72LQ0	P76256	TSAB	9.7e-16
Q72HE9	P25745	MNMA	0.0043
Q72K96	P0A7G2	RBFA	5.8e-09
Q72H06	P0A7G2	RBFA	5.8e-09
Q72JV8	P0A7G2	RBFA	5.8e-09
Q72GM7	P0A7G2	RBFA	5.8e-09
Q72HY4	P0A7G2	RBFA	5.8e-09
Q72KS8	P37676	YIAO	3.1e-17
Q72HQ8	P37676	YIAO	3.1e-17
Q746D6	P37676	YIAO	3.1e-17
Q72IA1	P37676	YIAO	3.1e-17
Q72KZ7	Q06065	ATOC	7.1e-06
Q72I51	P0ADR8	PPNN	2.1e-10
Q745Z9	P0ADR8	PPNN	2.1e-10
Q72IF8	P0ADR8	PPNN	2.1e-10
Q72K59	P45566	YHDT	1.9e-06
Q72L03	P0A843	TATE	5.6e-09
Q72IN4	P0A9M2	HPRT	0.42
Q72I83	P69503	APT	2.3e-06
Q72HQ1	P69503	APT	2.3e-06
Q72II0	P69503	APT	2.3e-06
Q72L02	P37650	BCSC	8e-06
Q72H97	P67087	RSMI	1.5e-56
Q746C7	P76541	EUTL	4.5e-07
Q72HH0	P0A6T5	GCH1	3.4e-35
Q72K41	P0A6T5	GCH1	3.4e-35
Q72GC0	P22255	CYSQ	1.5e-09
Q72KC9	Q46812	SSNA	4.3e-07
Q72G97	Q46812	SSNA	4.3e-07
Q72LQ7	Q46812	SSNA	4.3e-07
Q72JY6	Q46812	SSNA	4.3e-07
Q72JU6	Q46812	SSNA	4.3e-07
Q72IQ4	Q46812	SSNA	4.3e-07
Q72JT7	Q46812	SSNA	4.3e-07
Q72II3	P0AB01	ELYC	2.2e-05
Q72HA3	P07003	POXB	2.6e-05
Q72I37	P0AFB1	NLPI	0.00012
Q72J77	P25888	RHLE	8.1e-07
Q72JG8	P25888	RHLE	8.1e-07
Q746J4	P26647	PLSC	5.4e-06
Q746I9	P68644	FIXC	0.00023
Q72J42	P32173	MOBA	1.6e-12
Q72GW7	P32173	MOBA	1.6e-12
Q72LL5	P15723	DGTP	6.5e-13
Q72K70	P0ACJ5	DECR	0.81
Q72HH9	P0ACJ5	DECR	0.81
Q72L47	P0DPP7	YQID	6.7e-05
Q72I47	P0DPP7	YQID	6.7e-05
Q72GK2	P0DPP7	YQID	6.7e-05
Q72JM3	P13039	FES	2.1e-12
Q72LN9	P69423	TATC	5.3e-34
Q745Y5	P69423	TATC	5.3e-34
Q72I36	P24200	MCRA	6.2e-09
Q72GG7	P24200	MCRA	6.2e-09
Q72KM8	P24200	MCRA	6.2e-09
Q72JS9	P27862	YIGZ	3.7e-29
Q72KM0	P08201	NIRB	9.7e-11
Q72I67	P0AFR7	YCJO	0.57
Q72KT3	P28630	HOLA	1.3e-16
Q72JJ4	P07363	CHEA	1e-06
Q72G86	P39830	YBAL	0.003
Q72LP7	P0AEX9	MALE	1.4e-09
Q72HH2	P76086	PAAX	1.4e-23
Q72JW3	P76086	PAAX	1.4e-23
Q746D3	P76192	YDHV	9.2e-16
Q72IP9	P0ACL0	GLPR	2.6e-05
Q72IK8	P63264	CBPM	6.7e-07
Q72GB9	P00909	TRPC	8.1e-19
Q72KW4	P00909	TRPC	8.1e-19
Q72K43	P00909	TRPC	8.1e-19
Q72J55	P00909	TRPC	8.1e-19
Q72IR8	P32717	YJCS	2.6e-05
Q72GZ2	P32717	YJCS	2.6e-05
Q72KA0	Q47679	YAFV	2.2e-12
Q745V1	Q47679	YAFV	2.2e-12
Q72IH0	P51020	HOA	1.3e-06
Q72KK1	P51020	HOA	1.3e-06
Q72J16	P78061	PUUA	5.4e-39
Q72HL4	P38104	RSPA	6.8e-06
Q72J75	P38104	RSPA	6.8e-06
Q72J57	P77499	SUFC	0.0027
Q72K56	P0AEG4	DSBA	0.00013
Q72JE5	P0AEG4	DSBA	0.00013
Q72J96	P0AEG4	DSBA	0.00013
Q72LM9	P0ADC6	LPTG	5e-08
Q72I48	P0ADC6	LPTG	5e-08
Q72LC5	P00959	SYM	1.3
Q72L60	P0C058	IBPB	2.3e-07
Q72JF1	P0C058	IBPB	2.3e-07
Q72GZ1	P0C058	IBPB	2.3e-07
Q72K34	P0C058	IBPB	2.3e-07
Q745U9	P0C058	IBPB	2.3e-07
Q72JY2	P25552	GPPA	4.2e-33
Q72H49	P25552	GPPA	4.2e-33
Q72KY1	P27833	WECE	2.3e-49
Q72KU6	P27833	WECE	2.3e-49
Q72H37	P27833	WECE	2.3e-49
Q72II5	P27833	WECE	2.3e-49
Q72LH3	P37671	YIAJ	1.9e-05
Q72I34	P37671	YIAJ	1.9e-05
Q72GL7	P37671	YIAJ	1.9e-05
Q72HL7	P37671	YIAJ	1.9e-05
Q72IR3	P52045	SCPB	2.4e-11
Q72HC2	P76108	YDCS	1.8e-05
Q72JA0	P37655	BCSQP	6.9e-06
Q72GB5	P37655	BCSQP	6.9e-06
Q72HZ0	P0A8H3	ZUPT	0.00016
Q72IL5	P77395	CNOX	1.4e-14
Q72KC1	P71239	WCAE	6.6e-05
Q72HF7	P0AFG6	ODO2	5.8e-07
Q72LI5	P0AFG6	ODO2	5.8e-07
Q745Z0	P0AD47	YPHA	5.7e-06
Q72IG8	P25748	GALS	1.3e-05
Q72IT5	P37596	NORW	9.1e-06
Q72I87	P37596	NORW	9.1e-06
Q72HP9	P0AGM2	YICG	1.2e-26
Q72HY9	P0A823	SFSA	1.7e-19
Q72KI5	P76235	YEAH	0.024
Q72JD9	P76235	YEAH	0.024
Q72JW2	P76235	YEAH	0.024
Q72GK6	P36647	PPDD	0.00029
Q746N6	P67087	RSMI	3.3e-11
Q72G66	P10371	HIS4	8.8e-06
Q72GW1	P0AFW0	RFAH	3e-10
Q72GA7	P43531	YNFM	9.4e-23
Q72LJ9	P09053	AVTA	3.1e-07
Q72JH7	P63228	GMHBB	0.0003
Q745T8	P32136	YIHO	1.2e-14
Q72JA6	Q46864	MQSA	3.6e-05
Q72JZ9	P37631	YHIN	1.1e-05
Q72GQ5	P33026	SETB	5.5e-06
Q72GJ2	P77774	BAMB	0.00047
Q72JK0	P76269	YEBQ	6.7e-05
Q72KW1	P18956	GGT	1.2e-56
Q72LJ5	P0AE78	CORC	0.00032
Q746L7	P33020	YEII	0.00011
Q72GR8	P07913	TDH	2.8e-05
Q72IW0	P0C0R7	RLME	3.2e-07
Q72J88	P0C0R7	RLME	3.2e-07
Q72KP1	P0ABV6	TOLR	2.9e-05
Q72L08	P37617	ZNTA	3.3e-05
Q72H50	P37617	ZNTA	3.3e-05
Q72JS8	P38506	XNI	1.5e-32
Q72JL4	P0A6J8	DDLA	7.3e-06
Q72LH4	P39832	ZNUB	6.5e-42
Q72J46	P0A862	TPX	1.4e-06
Q72I44	P0AEX9	MALE	2.3e-48
Q72JK2	P0AEX9	MALE	2.3e-48
Q72L44	P31826	YDDA	0.00039
Q72KB3	P31551	CAID	2.9e-06
Q72KM2	P0AEA8	CYSG	9.7e-29
Q72GR9	P07001	PNTA	0.34
Q72HW2	P26648	FTSP	2.2e-51
Q72JZ7	P30011	NADC	9.7e-73
Q72GE4	P17952	MURC	3.4e-06
Q72IT2	P17952	MURC	3.4e-06
Q72I99	P21503	YCAD	2.8e-07
Q72J19	P21503	YCAD	2.8e-07
Q72J76	P21503	YCAD	2.8e-07
Q72IY1	P52074	GLCF	2.2e-14
Q72GB6	P52074	GLCF	2.2e-14
Q72GA4	P64483	YEAK	0.0012
Q746A5	P64483	YEAK	0.0012
Q72LA2	P37195	DCTR	0.00029
Q72GP7	P33570	TKT2	8.8e-06
Q72L41	P75821	YBJS	0.00034
Q72IK7	P0A6L9	HSCB	4.4e-05
Q72GG3	P0A6L9	HSCB	4.4e-05
Q72I94	P0A6L9	HSCB	4.4e-05
Q72KZ9	P76219	YDJX	1.4e-05
Q72HG9	P75697	YAIX	0.00013
Q72I81	P75697	YAIX	0.00013
Q72J93	P37353	MENE	0.00099
Q72GI6	P0A8D6	YMDB	9.1e-24
Q72GU8	P76145	TAM	1.5e-07
Q746M0	P76004	YCGM	1.1e-05
Q72HZ1	P13001	BIOH	2.5e-06
Q72H56	P0ACN2	YTFH	4.4e-06
Q72KC7	Q6BF17	DGOD	1.5e-08
Q72GW5	P75849	GLO22	3.3e-07
Q72L38	P75849	GLO22	3.3e-07
Q72LC3	P75849	GLO22	3.3e-07
Q72K74	P55135	RLMD	1.3e-05
Q72KJ9	P0AC81	LGUL	3.4e-06
Q72K47	P0AC81	LGUL	3.4e-06
Q72K46	P0AC81	LGUL	3.4e-06
Q9F0S8	P55734	YGAP	1.6e-06
Q72JU1	P27253	SCPA	4e-152
Q72GJ7	P0A9K7	PHOU	1.1e-40
Q72HL2	P0A9K7	PHOU	1.1e-40
Q72GQ9	P0A9K7	PHOU	1.1e-40
Q72KX7	P0AD12	YEEZ	3.7e-05
Q72KG5	P0AD12	YEEZ	3.7e-05
Q72H54	P09053	AVTA	1.9e-09
Q72G77	P75747	ABRB	2.8e-05
Q72H62	P75747	ABRB	2.8e-05
Q72JM8	P0AF98	LPTF	3.8e-05
Q72HB6	P06960	OTC2	1.5e-05
Q72JZ6	P06960	OTC2	1.5e-05
Q72GE6	P06960	OTC2	1.5e-05
Q72IB3	P12998	BIOF	1.1e-64
Q72HU4	P12998	BIOF	1.1e-64
Q72I92	P12998	BIOF	1.1e-64
Q72JT3	P12998	BIOF	1.1e-64
Q72HT4	P12998	BIOF	1.1e-64
Q72IC7	P12998	BIOF	1.1e-64
Q72IV8	P12998	BIOF	1.1e-64
Q72KC5	Q46831	YQGA	5.9e-26
Q72GI5	Q46831	YQGA	5.9e-26
Q72JN7	P76142	LSRB	2.2e-06
Q72K03	P76142	LSRB	2.2e-06
Q72I71	P0C0L2	OSMC	7.2e-37
Q72IX6	P0C0L2	OSMC	7.2e-37
Q745Y1	P0C0L2	OSMC	7.2e-37
Q72H14	P0C0L2	OSMC	7.2e-37
Q72JX9	P0C0L2	OSMC	7.2e-37
Q72K51	P0C0L2	OSMC	7.2e-37
Q72LB7	P0AEC0	YOAE	5.2e-08
Q72KT6	P75913	GHRA	0.79
Q72JG4	P00490	PHSM	0.00027
Q72IH4	P06616	ERA	7.9e-05
Q746C0	P06616	ERA	7.9e-05
Q72GB1	P06616	ERA	7.9e-05
Q72HQ7	P06616	ERA	7.9e-05
Q72L57	P0AEK0	EXOX	5.9e-12
Q72L48	P0AEK0	EXOX	5.9e-12
Q72K40	P0AEK0	EXOX	5.9e-12
Q72JU3	P0AEK0	EXOX	5.9e-12
Q72LM5	P0AEK0	EXOX	5.9e-12
Q72LE8	P67095	YFCE	6.9e-08
Q72LM1	P67095	YFCE	6.9e-08
Q72JB9	P23839	YICC	0.011
Q746H4	P23839	YICC	0.011
Q72K79	P23839	YICC	0.011
Q72IP0	P69054	DHSC	1.6e-06
Q72J14	P37772	YJFF	0.0011
Q72HG2	P0AF01	MODB	0.00021
Q72GN9	P33934	NAPH	7.4
Q72HT3	P33934	NAPH	7.4
Q72IW6	P33934	NAPH	7.4
Q745W4	P09980	REP	0.28
Q72K36	P09980	REP	0.28
Q745T1	P09980	REP	0.28
Q72K80	P24175	MANB	4e-29
Q72GG5	P24175	MANB	4e-29
Q72GY4	P0AGJ7	TRML	3.2e-10
Q72IP8	P27859	TATD	1.5e-25
Q72GL5	P76043	YCJQ	1.6e-07
Q746C8	P76043	YCJQ	1.6e-07
Q72JB6	P76043	YCJQ	1.6e-07
Q72KK5	P06149	DLD	4.4e-08
Q72HS9	P06149	DLD	4.4e-08
Q745V6	P06149	DLD	4.4e-08
Q72H42	P0A6Y8	DNAK	6.7e-06
Q72KG8	P0A9F1	MNTR	4.8e-06
Q72L37	P00547	KHSE	1.6e-07
Q72GK5	P00547	KHSE	1.6e-07
Q72KL6	P00547	KHSE	1.6e-07
Q72J09	P75799	GSID	0.084
Q72JV9	P75799	GSID	0.084
Q72LK5	P27836	WECG	1.1e-27
Q746G4	P27836	WECG	1.1e-27
Q72HV3	P27836	WECG	1.1e-27
Q72GU9	P00350	6PGD	7.8e-13
Q72KY2	P00350	6PGD	7.8e-13
Q72K60	P16256	PANF	0.35
Q72HM0	P37025	THPR	9.7e-18
Q745V3	P37025	THPR	9.7e-18
Q72HM4	P37025	THPR	9.7e-18
Q72GW6	P37025	THPR	9.7e-18
Q72LJ2	P37025	THPR	9.7e-18
Q72JW5	P37025	THPR	9.7e-18
Q72KJ8	P09163	YJAB	1.2e-05
Q72K00	P0ABD3	BFR	2.5e-36
Q72GG8	P0ABD3	BFR	2.5e-36
Q72HU0	P76106	HICA	3.2e-07
Q72KS1	Q47537	TAUA	1.5e-08
Q72K39	Q47537	TAUA	1.5e-08
Q72GG1	Q47537	TAUA	1.5e-08
Q72JH6	Q47537	TAUA	1.5e-08
Q72L06	Q47537	TAUA	1.5e-08
Q745W2	Q47537	TAUA	1.5e-08
Q72HA6	P0AAP3	FRMR	1.7e-07
Q72HI7	P0AAP3	FRMR	1.7e-07
Q72GW2	P0AG96	SECE	0.25
Q72K88	P39199	PRMB	1.9e-05
Q72L96	P39199	PRMB	1.9e-05
Q72HA7	P45508	YFAL	1.6e-05
Q72JS3	P0ADG7	IMDH	2.3e-06
Q72LN8	P15373	PRLF	1.4e-05
Q746A1	P15373	PRLF	1.4e-05
Q72LP0	P0AE24	ARAE	1.1e-05
Q72J90	P0AE24	ARAE	1.1e-05
Q746G1	P0AE24	ARAE	1.1e-05
Q72JS2	P76481	YFBK	0.024
Q72JR2	P0AG16	PUR1	1.1e-05
Q72GJ1	P0AEB7	YOAB	3.6e-11
Q745U6	P0AEB7	YOAB	3.6e-11
Q746F2	P77658	YNAA	7e-05
Q72I79	P0ACE7	HINT	7.8e-27
Q72J10	P33595	SGRR	4.1e-06
Q72J43	P77499	SUFC	2.7e-09
Q72GF5	P77499	SUFC	2.7e-09
Q72K86	P15639	PUR9	5.9e-149
Q72IA4	P30855	EVGS	0.00066
Q72J84	P30855	EVGS	0.00066
Q72IS1	P30855	EVGS	0.00066
Q746F8	P30855	EVGS	0.00066
Q72HI2	P39328	YTFT	1.7e-05
Q72H43	P75914	YCDX	1.3e-06
Q72KZ5	P75914	YCDX	1.3e-06
Q72GF2	P77488	DXS	0.0047
Q72KV1	P15028	FECB	8.1e-15
Q72IR4	P15028	FECB	8.1e-15
Q72KY6	P0AFD4	NUOH	2.2e-05
Q72HD1	P0AFD4	NUOH	2.2e-05
Q72KR5	P0AFD4	NUOH	2.2e-05
Q72KZ0	P71241	WCAJ	6.5e-42
Q72JH9	P75853	SSUA	6.9e-06
Q72JL8	P75853	SSUA	6.9e-06
Q72HG1	P31572	CAIB	4.3e-30
Q72LN1	P39297	BSMA	7.9e-06
Q72H74	P0A9V1	LPTB	2.7e-05
Q72K52	P0A9V1	LPTB	2.7e-05
Q72J94	P77732	RHMR	1.2e-05
Q72ID4	P25718	AMY1	2.9e-10
Q72KK3	P25718	AMY1	2.9e-10
Q746J1	P0AB43	YCGL	6.5e-06
Q746B0	P45527	UBIU	1.4e-05
Q745Z4	P45527	UBIU	1.4e-05
Q72HD8	P37631	YHIN	0.00014
Q72GJ0	P27254	ARGK	7e-48
Q72GP0	P27254	ARGK	7e-48
Q72K06	P52094	HISQ	0.00045
Q72HS4	P07650	TYPH	2.4e-88
Q72JM7	P27127	RFAB	5.5e-11
Q72KT7	P27127	RFAB	5.5e-11
Q72HW3	P27127	RFAB	5.5e-11
Q72H83	P27127	RFAB	5.5e-11
Q72KD0	P37019	CLCA	0.12
Q72H41	P04395	3MG2	1.4e-13
Q72LN3	P04395	3MG2	1.4e-13
Q72JE3	P04395	3MG2	1.4e-13
Q72JF2	P04395	3MG2	1.4e-13
Q72HC6	P04395	3MG2	1.4e-13
Q746J7	P0A9G4	CUER	1.1e-05
Q745U7	P0A9G4	CUER	1.1e-05
Q72LE7	P77423	HYFH	0.0015
Q72L97	P77423	HYFH	0.0015
Q746D5	P77423	HYFH	0.0015
Q72HB3	P77423	HYFH	0.0015
Q72HE2	P77423	HYFH	0.0015
Q72JB5	P77423	HYFH	0.0015
Q72HB1	P0A776	RPPH	1.4e-05
Q72L34	P0AGI8	TRKA	0.022
Q72HH8	P06710	DPO3X	1.7e-15
Q72KY3	P77756	QUEC	1.2e-06
Q72IU9	P77756	QUEC	1.2e-06
Q72I49	P76041	GGAP	0.00017
Q72IF4	P76041	GGAP	0.00017
Q72KK6	P76043	YCJQ	1e-05
Q72J06	P22188	MURE	0.054
Q72KV5	P22188	MURE	0.054
Q72GR4	P76164	YDFW	7.7e-06
Q72H02	P0ADR8	PPNN	3e-09
Q72HS3	P0ADR8	PPNN	3e-09
Q72HG5	P0ADR8	PPNN	3e-09
Q72IJ7	P0AAZ4	RARA	7.5e-05
Q72KN2	P21865	KDPD	4.1e-05
Q72I72	P21865	KDPD	4.1e-05
Q72KF4	P77044	MHPC	3.3e-05
Q746M9	P77445	EUTE	1.4e-06
Q72LQ5	P09832	GLTD	0.00032
Q72HG8	P37128	NUDK	0.00033
Q72KA4	P77499	SUFC	0.00018
Q72H05	P39366	SGCX	2.9e-05
Q72GJ9	P76639	YGEH	0.00039
Q72HI0	P75893	RUTF	1.3e-05
Q72HB9	P45799	NUDE	3.1
Q72JG6	P31547	METI	1e-05
Q72G67	P0AB58	LAPB	0.00021
Q72HU8	P0A7R9	RS11	0.11
Q746K2	P0A8X2	YCEI	4.4e-07
Q72I38	P29131	FTSN	1.3e-07
Q72IC2	P0A948	RIMJ	1.3e-06
Q72JL1	P0A948	RIMJ	1.3e-06
Q72H96	P0A948	RIMJ	1.3e-06
Q72HE8	Q47679	YAFV	1.3e-06
Q72GR3	A0A7H2C770	A0A7H2C770	8.2e-05
Q72KA3	P0AAA1	YAGU	4.4e-06
Q746P0	P67087	RSMI	7.3e-08
Q72HR1	P69367	MDTH	0.0093
